24485,* MOFid-v1.NA.NAno_mof;24485,NA.MISSING_LINKERS.MOFkey-v1
24495,Fc1cnc(c(c1c1cc(F)c(c(c1)F)c1c(F)c(F)nc(c1F)F)F)F.[O-]C(=O)C1=CC(=C(C=[C]1)c1ccc(cc1F)C1=C(F)C=C([C]=C1F)C(=O)[O-])F.[O-]C(=O)c1c2C(=CC=[C]c2c(c2c1ccc(c2F)F)C(=O)[O-])F.[Zn][Zn] MOFid-v1.pcu.cat0;24495,Zn.AYVIINQZKFATNC.CGJRAJDEUNFXDE.RYKTYTAVKUSRLX.MOFkey-v1.pcu
24496,Fc1cc(C(=O)[O-])c(cc1c1cc(F)c(c(c1F)F)c1c(F)cc(c(c1F)F)C(=O)[O-])F.Fc1ncc(c(c1)c1ccc(c(c1F)F)c1ccncc1)F.[O-]C(=O)c1c2ccc(c(c2c(c2c1ccc(c2F)F)C(=O)[O-])F)F.[Zn][Zn] MOFid-v1.pcu.cat0;24496,Zn.FQKPZPJNGBIPIQ.FRLNXMHGMLUTDU.QXDFMJKLBOFDPW.MOFkey-v1.pcu
24497,FC1=C[C]=Cc2c1c(C(=O)[O-])c1c(c2C(=O)[O-])C(=[C]C=C1F)F.Fc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1)F.Fc1ncc(c(c1)c1c(F)cc(cc1F)c1ccnc(c1F)F)F.[Zn][Zn] MOFid-v1.pcu.cat0;24497,Zn.IYAKATUFUOGLGC.OTLDUDHCAAZMCT.ZBSAVTVPNGOSPO.MOFkey-v1.pcu
24498,ClC1=[C]c2c([C]=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1Cl.Clc1ncc(c(c1Cl)c1cc(Cl)c(c(c1)Cl)c1c(Cl)cnc(c1Cl)Cl)Cl.[O-]C(=O)C1=[C]C(=C(C(=[C]1)Cl)c1c(Cl)cc(cc1Cl)c1ccc(cc1Cl)C(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24498,Zn.MMMIRDSUCQNGLU.VTFOSORMSJFFAT.ZEBHILXUGBVELR.MOFkey-v1.pcu
24499,ClC1=[C]C(=C(C=N1)Cl)c1cc(Cl)c(c(c1)Cl)c1c(Cl)cnc(c1Cl)Cl.ClC1=[C]c2c([C]=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1Cl.[O-]C(=O)C1=[C]C(=C(C(=[C]1)Cl)C1=[C]C=C(C=C1Cl)c1ccc(cc1Cl)C(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat1;24499,Zn.KIJGLFBOHXGDPN.MMMIRDSUCQNGLU.YXBTYHVCKNZYQR.MOFkey-v1.pcu
245,[O-]C(=O)C1=C(Cl)C=C([C]=C1)C1=[C]C(=C(C(=[C]1)Cl)C(=O)[O-])Cl.[O-]C(=O)C1=C[C]=C(C=C1Cl)C1=CC(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)c1ccc(cc1Cl)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;245,Zn.BVJMSJKHRZHONZ.MBRFFTCCJPCYPN.TVWBZAKLLBYAQE.MOFkey-v1.pcu
2450,Brc1c(cc(c(c1Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(cc(c1c1c(Br)cc(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1Br)Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C#Cc1cc(Br)c(cc1Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;2450,Zn.BGRUZGHRHAAJCF.MLLUCMNGEBINTO.ZMMUEMNKVJUKGV.MOFkey-v1.pcu
24500,ClC1=CC(=[C]C=C1c1ccc(c(c1Cl)Cl)C1=C(Cl)C=C([C]=C1)C(=O)[O-])C(=O)[O-].Clc1c(Cl)nccc1c1c(Cl)cc(c(c1Cl)Cl)c1c(Cl)cnc(c1Cl)Cl.[O-]C(=O)c1c2[C]=CC=C(c2c(c2=CC=C[C]=c12)C(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24500,Zn.APXDGMGWQYXPIF.DYFWFUBKMOGEED.IPZVBLFCZCJVAY.MOFkey-v1.pcu
24501,ClC1=C[C]=c2c(=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])C(=[C]C=C1Cl)Cl.Clc1cc(c(c(c1c1ccncc1)Cl)Cl)c1ccncc1Cl.[O-]C(=O)C1=CC=C(C=[C]1)c1ccc(c(c1Cl)Cl)C1=C(Cl)[C]=C(C=C1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24501,Zn.BPPIOMQFBYTJLO.MEIBLRRDDIXFOO.ZYZKUYRBDLGQQC.MOFkey-v1.pcu
24502,ClC1=Cc2c(C(=[C]1)Cl)c(C(=O)[O-])c1=[C]C=C[C]=c1c2C(=O)[O-].Clc1nc(Cl)cc(c1)c1cc(Cl)c(cc1Cl)c1ccnc(c1Cl)Cl.[O-]C(=O)C1=[C]C=C(C=C1)c1c(Cl)cc(c(c1Cl)Cl)C1=C(Cl)[C]=C([C]=C1Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24502,Zn.BDNZWVSZENBZKI.KQHLGTIWPNYGEO.VDZFSYUMPWVXKA.MOFkey-v1.pcu
24503,ClC1=CC(=[C][C]=C1c1cc(Cl)c(c(c1)Cl)C1=CC(=C([C]=C1)C(=O)[O-])Cl)C(=O)[O-].Clc1nccc(c1)c1ccc(c(c1)Cl)c1ccnc(c1)Cl.[O-]C(=O)c1c2[C]=CC=Cc2c(c2c1C=C[C]=C2Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24503,Zn.GFSZCGIGFFPORS.MMNUYCMYAFJJEC.VPLYEMVFUITASD.MOFkey-v1.pcu
24504,ClC1=CC(=[C][C]=C1c1cc(Cl)c(c(c1)Cl)C1=CC(=C([C]=C1)C(=O)[O-])Cl)C(=O)[O-].Clc1nccc(c1)c1ccc(c(c1)Cl)c1ccnc(c1)Cl.[O-]C(=O)c1c2[C]=CC=Cc2c(c2c1C=C[C]=C2Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24504,Zn.GFSZCGIGFFPORS.MMNUYCMYAFJJEC.VPLYEMVFUITASD.MOFkey-v1.pcu
24505,BrC1=Cc2c(C=[C]1)c(C(=O)[O-])c1=[C]C(=C[C]=c1c2C(=O)[O-])Br.Brc1ncc(c(c1Br)c1ccc(c(c1)Br)c1c(Br)cnc(c1Br)Br)Br.[O-]C(=O)C1=[C]C(=C(C=C1)c1ccc(cc1Br)c1ccc(cc1)C(=O)[O-])Br.[Br].[Zn][Zn] MOFid-v1.pcu,sql.cat0;24505,Zn.LVTOULGTFZUWSN.MRRWMXGWNFVMRY.ZXDNZTWXULJHRR.MOFkey-v1.pcu
24506,Brc1ncc(c(c1)c1ccc(c(c1)Br)c1c(Br)cnc(c1Br)Br)Br.[O-]C(=O)C1=[C]C=C(C=[C]1)c1ccc(c(c1Br)Br)C1=CC=C([C]=C1Br)C(Br)([O])[O].[O-]C(=O)c1c2[C]=C[C]=[C]c2c(c2c1c(Br)ccc2Br)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,sql.cat0;24506,Zn.LXTBVMIJJZUQJV.UCSISANQWOIBEG.VTAYMMFKLNFJOS.MOFkey-v1.pcu
24507,BrC1=[C]c2c(C=C1)c(C(=O)[O-])c1=C[C]=C[C]=c1c2C(=O)[O-].Brc1cnccc1c1c(Br)cc(cc1Br)c1c(Br)cnc(c1Br)Br.[O-]C(=O)c1ccc(cc1)c1ccc(cc1Br)C1=C(Br)[C]=C(C=C1Br)C(Br)([O])[O].[Zn][Zn] MOFid-v1.pcu,sql.cat0;24507,Zn.UNLSKRBJZWZUBT.VZALTLCQISGELF.YVZQRPSDVXJKDP.MOFkey-v1.pcu
24508,BrC1=[C]c2c(C=C1)nc1=[C]C=C[C]=c1n2.[Zn][Zn] MOFid-v1.ERROR.cat0;24508,Zn.MHTJNMVQDCEKKU.MOFkey-v1.ERROR
24509,Cc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)C)c1c(C)cc(c(c1C)C)C(=O)[O-])C.Cc1ccc2c(c1)nc1c(n2)c(C)cc(c1C)C.[O-]C(=O)C1=CC(=C(C=[C]1)c1ccc(cc1C)c1c(C)cc(c(c1C)C)C(=O)[O-])C.[Zn][Zn] MOFid-v1.pcu.cat0;24509,Zn.GXQIOPNJHPRZNY.XMRFGSYYNRJOCY.YYAKKJCYSDDNRQ.MOFkey-v1.pcu
2451,Brc1c(cc(c(c1Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(cc(c1c1c(Br)cc(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1Br)Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C#Cc1cc(Br)c(cc1Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;2451,Zn.BGRUZGHRHAAJCF.MLLUCMNGEBINTO.ZMMUEMNKVJUKGV.MOFkey-v1.pcu
24510,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(C)c(cc1)C.Cc1nccc(c1)C1=C(C)[C]=C(C=C1C)c1cc(C)nc(c1C)C.[O][C]c1c2cc(C)c(c(c2c(c2c1c(C)c(C)c(c2C)C)[C])C)C.[O].[O].[O].[Zn][Zn] MOFid-v1.pcu.cat0;24510,Zn.JGNPBLVEUPDCNB.MSNILVGBDTVPEX.ZDZHTAQMHGGTAH.MOFkey-v1.pcu
24511,Cc1ncc(c(c1)c1ccc(c(c1C)C)c1c(C)cncc1C)C.[O-]C(=O)C1=C(C)C(=C([C]=C1)c1cc(C)c(cc1C)c1ccc(cc1C)C(=O)[O-])C.[O][C]c1c2ccc(cc2c(c2c1c(C)cc(c2C)C)[C][O])C.[O].[O].[Zn][Zn] MOFid-v1.pcu.cat0;24511,Zn.DHKCOKPHISSLJB.JZFONQXIFPGRDU.RARBEZPOLNBNEK.MOFkey-v1.pcu
24512,CCCc1cc(ccc1c1ccc(c(c1CCC)CCC)C(=O)[O-])c1cc(CCC)c(cc1CCC)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,sql.cat0;24512,Zn.SRPHRBMXLIGIEN.MOFkey-v1.pcu
24513,Nc1nccc(c1)c1c(N)c(N)c(c(c1N)N)c1ccnc(c1)N.[O-]C(=O)c1ccc(cc1)c1ccc(c(c1N)N)c1ccc(cc1N)C(=O)[O-].[O][C]c1c2c(N)cccc2c(c2c1c(N)ccc2N)C(=O)[O-].[O].[Zn][Zn] MOFid-v1.pcu.cat0;24513,Zn.HKOYRFKSYUSLQV.YYDQTUGKKGHYED.ZJNKVNLAYYNKOY.MOFkey-v1.pcu
24514,* MOFid-v1.NA.NA;24514,
24515,Nc1cc(ccc1c1ccc(c(c1N)N)C(=O)[O-])c1cc(N)c(c(c1N)N)C(=O)[O-].Nc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1N.Nc1ncc(c(c1)c1ccc(c(c1)N)c1cc(N)ncc1N)N.[Zn][Zn] MOFid-v1.pcu.cat0;24515,Zn.BQAQVEXUADCZSF.FVUXIKNCJJAYPV.GZJQROAGFFEIMB.MOFkey-v1.pcu
24516,Nc1cc(ccc1c1ccc(c(c1N)N)C(=O)[O-])c1cc(N)c(c(c1N)N)C(=O)[O-].Nc1cc2c(c(c1N)N)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1N.Nc1ncc(c(c1)c1ccc(c(c1)N)c1cc(N)ncc1N)N.[Zn][Zn] MOFid-v1.pcu.cat1;24516,Zn.BQAQVEXUADCZSF.FVUXIKNCJJAYPV.GZJQROAGFFEIMB.MOFkey-v1.pcu
24517,Nc1nccc(c1)c1cc(N)c(cc1N)c1ccnc(c1N)N.[Zn][Zn] MOFid-v1.sql,ERROR.cat0;24517,Zn.JZGFOYDQFMEXNX.MOFkey-v1.sql
24518,C1=CC=C([C]=C1)C1=C(CC(=C(C1)C1=C(C=N[CH]C1)C1=CC=CC=[C]1)C1=[C]C=CC=C1)C1=C([CH]N=CC1)C1=[C]C=CC=C1.[CH2]C=CC(=C[CH])c1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)C1=CCC(=C([CH]1)C1=CC=[C]C=C1)C1=C(C2=CC=CC=[C]2)C(=C(C[CH]1)c1ccc(cc1C1=[C]C=CC=C1)C(=O)[O-])c1ccccc1.[Zn][Zn] MOFid-v1.pcu.cat0;24518,Zn.IKHVZDWAWPXXEH.PHSGWZCZJZLNFQ.YBCBUNPUHAMPIU.MOFkey-v1.pcu
24519,OC1=N[CH]C(=C([CH]1)c1c(O)cc(c(c1O)O)c1c(O)cnc(c1O)O)O.Oc1cc(cc(c1c1ccc(cc1)C(=O)[O-])O)c1cc(O)c(c(c1O)O)C(=O)[O-].Oc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1O)O.[Zn][Zn] MOFid-v1.pcu.cat0;24519,Zn.GICYPKFCJSJPEO.NVLHWXMDRBMOLR.RXPJSXCGTTYJLK.MOFkey-v1.pcu
2452,[O-]C(=O)C1=C(Br)C(=C([C]=C1Br)c1c(Br)cc(c(c1Br)Br)c1ccc(c(c1)Br)C(=O)[O-])Br.[O-]C(=O)C1=CC=C(C(=[C]1)Br)c1cc(Br)c(c(c1)Br)c1c(Br)cc(c(c1Br)Br)C(=O)[O-].[O-]C(=O)C1=C(Br)C(=C([C]=C1Br)c1c(Br)cc(c(c1Br)Br)c1ccc(c(c1)Br)C(=O)[O-])Br.[O-]C(=O)C1=[C]C(=C(C=C1)c1cc(Br)c(c(c1)Br)c1c(Br)cc(c(c1Br)Br)C(=O)[O-])Br.[O-]C(=O)c1ccc(c(c1)Br)C#Cc1cc(Br)c(cc1Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.UNKNOWN,pcu.cat0;2452,Zn.AEEZFCQOUGXSET.ZMMUEMNKVJUKGV.MOFkey-v1.UNKNOWN
24520,OC1=N[CH]C(=C([CH]1)c1ccc(c(c1O)O)c1cc(O)ncc1O)O.Oc1cc(ccc1c1c(O)cc(cc1O)c1ccc(c(c1)O)C(=O)[O-])C(=O)[O-].Oc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)ccc1O.[Zn][Zn] MOFid-v1.pcu.cat0;24520,Zn.JNGHJHCEMKXACE.LOUMYIVQXNCPCP.ONMWPZJMEHTGJL.MOFkey-v1.pcu
24521,Oc1cc(O)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1O.Oc1cc(c(cc1c1ccc(cc1O)C(=O)[O-])O)c1ccc(cc1O)C(=O)[O-].Oc1cc2nc3c(nc2cc1O)ccc(c3O)O.[Zn][Zn] MOFid-v1.pcu.cat0;24521,Zn.JORAKCPGQVIXKO.LLQGDYMXUAMFHO.NAGKGPXAMWRYBB.MOFkey-v1.pcu
24522,Oc1c(O)cc2c3c1c(C(=O)[O-])c1c(c3C(=O)OO2)c(O)ccc1.Oc1cc(cc(c1c1cc(O)c(c(c1)O)c1ccc(c(c1O)O)C(=O)[O-])O)C(=O)[O-].Oc1ncc(c(c1)c1ccc(c(c1O)O)C1=C(O)C(=N[C]=C1O)O)O.[Zn][Zn] MOFid-v1.pcu.cat0;24522,Zn.AXNUMDDLVSLKNG.GFZCJSWPSVUWKK.NUGJNBZYVPONTB.MOFkey-v1.pcu
24523,N#Cc1c(C#N)c(c(cc1c1c(C#N)cnc(c1C#N)C#N)C#N)c1c(C#N)cncc1C#N.[Zn][Zn] MOFid-v1.ERROR.cat0;24523,Zn.XIZXVBPRPULSDF.MOFkey-v1.ERROR
24524,* MOFid-v1.NA.NA;24524,
24525,N#Cc1nc(C#N)cc(c1)c1ccc(cc1C#N)c1cc(C#N)ncc1C#N.[Zn][Zn] MOFid-v1.ERROR.cat0;24525,Zn.HUMIWLYFVHVRLG.MOFkey-v1.ERROR
24526,N#Cc1nc(C#N)cc(c1)[C]1C2C3[N]42[C]c2c5-c6ccc(-c7c8[C][N]9(C1(C#N)C9[C]3c1cc(C#N)ncc1C#N)[N][C]1[N]3(C91C3c1c(C=C9)c(c3C9[N]%10%11[C]([N]4)C9%10C=C(c3c1C(=O)[O-])[C][N]C(c(c2[C]%11)cc5C#N)([O])[O])C(=O)[O-])[C]c8c(cc7)C(=O)[O-])cc6.[Zn][Zn] MOFid-v1.UNKNOWN,irl.cat0;24526,Zn.LZIQDHIFSJKFGU.MOFkey-v1.UNKNOWN
24527,* MOFid-v1.NA.NA;24527,
24528,CCOC1=[N]=C(OCC)C(=C([CH]1)c1ccc(c(c1)O[CH2])c1ccncc1OCC)OCC.CCOc1c(ccc(c1OCC)C(=O)[O-])c1ccc(c(c1)OCC)c1ccc(c(c1OCC)OCC)C(=O)[O-].[CH2]COc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)OCC.[Zn][Zn] MOFid-v1.pcu.cat0;24528,Zn.DWHCLNNBQDQGBY.FKFPIWQAWKZLHM.VXPWUHXLLDVPKP.MOFkey-v1.pcu
24529,FC1C(F)c2c1c(ccc2C(=O)[O-])C(=O)[O-].FC1Cc2c1c(cc(c2C(=O)[O-])F)C(=O)[O-].Fc1cc(F)c2c(c1F)nc1c(n2)c(F)ccc1F.[Zn][Zn] MOFid-v1.pcu.cat0;24529,Zn.RBGSCVHVDDNAQK.UKMXTXGNWDFWLZ.ZJGKUSLGIDIUSD.MOFkey-v1.pcu
2453,Brc1cc(cc(c1c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(ccc1c1ccc(c(c1)Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1Br)Br)C#Cc1c(Br)cc(c(c1Br)Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;2453,Zn.GUSNGPZRIPDXMT.NYFWAXMZSKQEFF.YYUXSQMLJKZKDK.MOFkey-v1.pcu
24530,Clc1nc2c(nc1Cl)[C](C2(Cl)Cl)Cl.[O-]C(=O)c1c2=C[C]=C(C(=c2c(c2c1cccc2)C(=O)[O-])Cl)Cl.[O-]C(=O)c1ccc(c2c1C[CH]2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24530,Zn.BIVGRBKQYYHLNB.DQJWGGZAUZYYIT.OVVJMFQBKSKYSU.MOFkey-v1.pcu
24531,Clc1cnc2c(n1)[C](C2Cl)Cl.[O-]C(=O)c1c2ccccc2c(c2c1c(Cl)ccc2Cl)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(c2c1[C](Cl)C2Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24531,Zn.FBIHTUPLQVCFIK.QMMRBLZJYGESOS.RTKMEVPAHYQCPY.MOFkey-v1.pcu
24532,BrC1=C[C]=c2c(=[C]1)nc1c(n2)[C]=CC=[C]1.BrC1[C]C2=C([C]=C(C(=C12)C(=O)[O-])Br)C(=O)[O-].BrO[C](c1ccc(c2c1[CH][CH]2)[C](OBr)OBr)OBr.[Zn][Zn] MOFid-v1.ERROR.cat0;24532,Zn.FEXSSSKESDPYEE.SAVXYUMDSFNNKB.MOFkey-v1.ERROR
24533,CCCC1[CH]c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])CCC)CCC.CCCc1ccc2c(c1)nc1c(n2)cc(c(c1)CCC)CCC.[CH2]CC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24533,Zn.AXTQEBLMVONLIQ.QDNWMILUIXJYIW.WLCWGYPBIAEGPC.MOFkey-v1.pcu
24534,N[NH2]C1(N)C(N)c2c1nc(c(n2)N)N.Nc1c2[NH2][NH2]c3c(c4c(c1c1cc2[NH2][NH2]c3cc4c1C(=O)[O-])C(=O)[O-])N.[O-]C(=O)c1cc(N)c(c2c1C[CH]2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24534,Zn.ICCIDIADUBMIAN.PWSRAPCGEMPQSU.SGHJHFRKWWPUOA.MOFkey-v1.pcu
24535,[O-]C(=O)c1ccc(c2c1C(C2)C(=CCC1[CH][CH][C]1)[CH][CH]C=C[C]c1cc2nc3ccccc3nc2cc1c1ccccc1)C(=O)[O-].[O-]C(=O)c1ccc(c2c1C(C2)c1ccccc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql,UNKNOWN.cat0;24535,Zn.GMSDPEDHVKSAKP.NQUYNAAUIZBCDE.MOFkey-v1.sql
24536,CCOC1(OOC2CC3=N[CH]C(=N[C]23)OCC)Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].CCOC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])OCC.[Zn][Zn] MOFid-v1.sql,UNKNOWN.cat0;24536,Zn.LKBZSNZNNJPKHY.UWGRDYAIBLDVDG.MOFkey-v1.sql
24537,Fc1ccc2c(c1)nc1c(n2)cc(cc1F)F.[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24537,Zn.QKQUZKDGPXUKBT.YTIVTFGABIZHHX.MOFkey-v1.pcu
24538,* MOFid-v1.NA.NAno_mof;24538,NA.MISSING_LINKERS.MOFkey-v1
24539,N#N.[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;24539,Zn.IJGRMHOSHXDMSA.YTIVTFGABIZHHX.MOFkey-v1.ERROR
2454,Brc1cc(cc(c1c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(ccc1c1ccc(c(c1)Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1Br)Br)C#Cc1c(Br)cc(c(c1Br)Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;2454,Zn.GUSNGPZRIPDXMT.NYFWAXMZSKQEFF.YYUXSQMLJKZKDK.MOFkey-v1.pcu
24540,N#N.[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat1;24540,Zn.IJGRMHOSHXDMSA.YTIVTFGABIZHHX.MOFkey-v1.ERROR
