5069505,* MOFid-v1.NA.NA;5069505,
5069547,Nc1cnc2c(n1)CC2N.[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N.[O-]C(=O)c1cc(N)c(c2c1C(N)C2N)C(=O)[O-] MOFid-v1.pcu.cat0;5069547,Cu.AKIKGLDWIFMDLW.LRSIRBLPWBCRCB.RIDDGQIIRJGQDP.MOFkey-v1.pcu
5069548,Nc1cnc2c(n1)CC2N.[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N.[O-]C(=O)c1cc(N)c(c2c1CC2)C(=O)[O-] MOFid-v1.pcu.cat0;5069548,Cu.LRSIRBLPWBCRCB.RIDDGQIIRJGQDP.SABVMXPCRZXWAE.MOFkey-v1.pcu
5069549,NC1c2nccnc2C1(N)N.[Cu][Cu].[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])N)N.[O-]C(=O)c1c(N)c(N)c(c2c1C(N)C2(N)N)C(=O)[O-] MOFid-v1.pcu.cat0;5069549,Cu.DRBRJAGKBWXSLC.IYKXQXBCNDISCD.ZTTWXMWGJQIIOW.MOFkey-v1.pcu
5069550,* MOFid-v1.NA.NA;5069550,
5069551,[Cu][Cu].[O-]C(=O)C1=C[CH]C2(C3[C]1C(C3)c1ccc(cc1)C1CC=C(C=C1)[C]1[C]3[CH]C45C6C(c7cc2ccc7)(c2nccnc62)C26C=CC=CC2C6C=C[CH]C25[CH]C4[CH][CH]C32C([CH2])(C(=O)[O-])C2[CH]C1([CH]2)C(=O)[O-])C(=O)[O-] MOFid-v1.ERROR.cat0;5069551,Cu.UKALYXPZHZJWJD.MOFkey-v1.ERROR
5069552,* MOFid-v1.NA.NA;5069552,
5069553,* MOFid-v1.NA.NAno_mof;5069553,NA.MISSING_LINKERS.MOFkey-v1
5069554,OC1C(O)c2c1c(ccc2C(=O)[O-])C(=O)[O-].OC1Cc2c1nc(c(n2)O)O.[Cu][Cu].[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-] MOFid-v1.pcu.cat0;5069554,Cu.BDEIEOIIZLEVBJ.FNXNZNGOFGFTFF.MUQINBVDETZISO.MOFkey-v1.pcu
5069555,OC1Cc2c1nc(c(n2)O)O.[Cu][Cu].[O-]C(=O)C12C3C4[C]2C2(C1C3C42C(=O)[O-])O.[O]C1C(O)c2c1c(ccc2C(=O)[O-])C(=O)[O-] MOFid-v1.pcu.cat0;5069555,Cu.MUQINBVDETZISO.UVYQWPAZCGTZCR.VVIDNABLXVEZOF.MOFkey-v1.pcu
5069556,OC12C3N4C2C2(N1C3C42O)O.OC1C(O)c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])O)O.[Cu][Cu].[O-]C(=O)c1cc(O)c(c2c1C(O)C2(O)O)C(=O)[O-] MOFid-v1.pcu.cat0;5069556,Cu.FEGNZQRMNNVWQM.MDSZXPKAGVNWRG.ORZOIGZUYALPGA.MOFkey-v1.pcu
5069557,OC1C(O)c2c1nccn2.[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])O.[O-]C(=O)c1c(O)cc(c2c1CC2(O)O)C(=O)[O-] MOFid-v1.pcu.cat0;5069557,Cu.BOVVMXNJRXDMJC.ONFOPEAUSQHXFR.TUVJRBXFRLPJBE.MOFkey-v1.pcu
5069558,OC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].Oc1cnc2c(n1)C(C2O)O.[Cu][Cu].[O-]C(=O)C12C3(O)C4C1(O)C1(C2(C3(C41C(=O)[O-])O)O)O MOFid-v1.pcu.cat0;5069558,Cu.GBVCBRIWDNRXGG.MKMWNLIOJWZHIB.WGPNIUJHLPORHY.MOFkey-v1.pcu
5069559,C1C(C#N)c2c1nccn2.N#CC12C3C4C2(C2C1C3(C42C#N)C(=O)[O-])C(=O)[O-].N#CC1Cc2c1c(cc(c2C(=O)[O-])C#N)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069559,Cu.JIAKNRAQLJKWIO.KDRGREAGBYANTJ.KRHMWFNODMIXRT.MOFkey-v1.pcu
5069560,N#CC1Cc2c1c(cc(c2C(=O)[O-])C#N)C(=O)[O-].[Cu][Cu] MOFid-v1.ERROR.cat0;5069560,Cu.JIAKNRAQLJKWIO.MOFkey-v1.ERROR
5069561,N#CC12C3(C(=O)[O-])C4C1(C#N)C1(C2(C3(C41)C#N)C#N)C(=O)[O-].N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.N#Cc1nc2CCc2nc1C#N.[Cu][Cu] MOFid-v1.pcu.cat0;5069561,Cu.BNRABESCAGDTKG.PWDVWLMJENGBOU.ZNDCBAVRSINJNW.MOFkey-v1.pcu
5069562,N#CC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-].N#CC1C(C#N)c2c1nc(c(n2)C#N)C#N.N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2)(C#N)C#N.[Cu][Cu] MOFid-v1.pcu.cat0;5069562,Cu.FPDRTVXFIZEBPW.HDYMPMAGIAFFDT.NMOLTXOMPYQECF.MOFkey-v1.pcu
5069563,N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2(C#N)C#N)C#N.[Cu][Cu] MOFid-v1.ERROR,UNKNOWN.cat0;5069563,Cu.GKNKCZVOFVGQPC.MOFkey-v1.ERROR
5069564,COC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-].COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C[CH]2.COc1cnc2c(n1)[C](C2)OC.[Cu][Cu] MOFid-v1.pcu.cat0;5069564,Cu.DMQAURPEYBRCQQ.WIWXVXNDHKRZKV.YIAYVOUBBTYXCV.MOFkey-v1.pcu
5069565,CCOC1(OCC)Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].CCOC1c2nccnc2C1(OCC)OC[CH2].[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])O.[CH2]C MOFid-v1.pcu.cat0;5069565,Cu.GGCTWNRTZTWYHX.HWJAYXKPJJYGDO.MQZCYJPJKHKNRW.MOFkey-v1.pcu
5069566,CCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])OCC.CCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41OCC)C(=O)[O-])OCC.CCOC1CC2=N[CH]C(=N[C]12)OCC.[Cu][Cu] MOFid-v1.pcu.cat0;5069566,Cu.IAYZBTVIEHJYFO.SMTLQENOYGAVLI.WZPYXJGAUMJAAK.MOFkey-v1.pcu
5069567,CCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41OCC)C(=O)[O-])OCC.CCOC1=N[C]2C(=N[CH]1)C(C2)OCC.CCOC1C(OCC)c2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069567,Cu.DBFMRWFNEXVAFJ.SMTLQENOYGAVLI.ZRERDFRBBKZNCG.MOFkey-v1.pcu
5069568,N=NC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])N=N.N=NC1C(N=N)c2c1nccn2.N=NC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069568,Cu.FUDWGSQQNSUFOK.GLVAMLRVPOZILY.MSLGYKFIOMWDKY.MOFkey-v1.pcu
5069569,N=NC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-].N=Nc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2N=N)(N=N)N=N.N=Nc1nc2c(nc1N=N)C1(C2(N=N)[N]NN[N]1)N=N.[Cu][Cu] MOFid-v1.pcu.cat0;5069569,Cu.JNSJYOPBFXRMKB.SEFPNVOWCALTSR.XZQPFXQHVMZROJ.MOFkey-v1.pcu
5069570,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat0;5069570,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069571,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat1;5069571,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069572,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat0;5069572,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069573,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat1;5069573,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069574,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F MOFid-v1.ERROR.cat0;5069574,Cu.IJGRMHOSHXDMSA.PVZUIIMFKVKLME.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069575,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F MOFid-v1.ERROR.cat0;5069575,Cu.IJGRMHOSHXDMSA.PVZUIIMFKVKLME.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069576,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])F MOFid-v1.ERROR.cat0;5069576,Cu.IJGRMHOSHXDMSA.RHLWFQFWQRYIKR.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069577,FC12C3N4C1C1(N2C3(C41F)F)F.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])F)F)F MOFid-v1.pcu.cat0;5069577,Cu.CASJAFLVAKDZPU.HUQZPKRFLPPCRI.YTIVTFGABIZHHX.MOFkey-v1.pcu
5069578,N#N.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F MOFid-v1.ERROR.cat0;5069578,Cu.IJGRMHOSHXDMSA.PVZUIIMFKVKLME.MOFkey-v1.ERROR
5069579,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])Cl MOFid-v1.ERROR.cat0;5069579,Cu.IJGRMHOSHXDMSA.XLFWYCWTYCZOEE.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069580,N#N.[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1[C]3C42C(=O)[O-])Cl.[O-]C(=O)C12C3[C]4C1(Cl)C1(C2(C3(C41C(=O)[O-])Cl)Cl)Cl MOFid-v1.ERROR.cat0;5069580,Cu.IJGRMHOSHXDMSA.URXGEUOYLZJLDJ.YQUOLFOQGXYRRC.MOFkey-v1.ERROR
5069581,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat0;5069581,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
5069582,N#N.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.ERROR.cat1;5069582,Cu.IJGRMHOSHXDMSA.JFKXMJUMOJJTCQ.YTIVTFGABIZHHX.MOFkey-v1.ERROR
